card_id,card_description,association,card_type,nation,collected,duplicate,main_set,page_number
LOGO,Panini Logo,We Are Panini,foil,NA,no,0,yes,1
FWC1,Official Emblem,FIFA World Cup 2026,foil,NA,no,0,yes,1
FWC2,Official Emblem,FIFA World Cup 2026,foil,NA,no,0,yes,1
FWC3,Official Mascots,FIFA World Cup 2026,foil,NA,no,0,yes,1
FWC4,Official Slogan,FIFA World Cup 2026,foil,NA,no,0,yes,1
FWC5,Official Ball,FIFA World Cup 2026,foil,NA,no,0,yes,2
FWC6,Canada,Host Countries and Cities,foil,NA,no,0,yes,2
FWC7,Mexico,Host Countries and Cities,foil,NA,no,0,yes,2
FWC8,USA,Host Countries and Cities,foil,NA,no,0,yes,2
MEX1,Emblem,Mexico,foil,Mexico,no,0,yes,8
MEX2,Luis Malagon,Mexico,-,Mexico,no,0,yes,8
MEX3,Johan Vasquez,Mexico,-,Mexico,no,0,yes,8
MEX4,Jorge Sanchez,Mexico,-,Mexico,yes,0,yes,8
MEX5,Cesar Montes,Mexico,-,Mexico,no,0,yes,8
MEX6,Jesus Gallardo,Mexico,-,Mexico,yes,0,yes,8
MEX7,Israel Reyes,Mexico,-,Mexico,yes,0,yes,8
MEX8,Diego Lainez,Mexico,-,Mexico,yes,0,yes,8
MEX9,Carlos Rodriguez,Mexico,-,Mexico,no,0,yes,8
MEX10,Edson Alvarez,Mexico,-,Mexico,no,0,yes,8
MEX11,Orbelin Pineda,Mexico,-,Mexico,no,0,yes,8
MEX12,Marcel Ruiz,Mexico,-,Mexico,no,0,yes,8
MEX13,Team Photo,Mexico,-,Mexico,no,0,yes,8
MEX14,Erick Sanchez,Mexico,-,Mexico,no,0,yes,8
MEX15,Hirving Lozano,Mexico,-,Mexico,yes,0,yes,8
MEX16,Santiago Gimenez,Mexico,-,Mexico,yes,0,yes,8
MEX17,Raul Jimenez,Mexico,-,Mexico,no,0,yes,8
MEX18,Alexis Vega,Mexico,-,Mexico,yes,0,yes,8
MEX19,Roberto Alvarado,Mexico,-,Mexico,yes,0,yes,8
MEX20,Cesar Huerta,Mexico,-,Mexico,no,0,yes,8
RSA1,Emblem,South Africa,foil,South Africa,no,0,yes,10
RSA2,Ronwen Williams,South Africa,-,South Africa,no,0,yes,10
RSA3,Sipho Chaine,South Africa,-,South Africa,no,0,yes,10
RSA4,Aubrey Modiba,South Africa,-,South Africa,no,0,yes,10
RSA5,Samukele Kabini,South Africa,-,South Africa,no,0,yes,10
RSA6,Mbekezeli Mbokazi,South Africa,-,South Africa,no,0,yes,10
RSA7,Khulumani Ndamane,South Africa,-,South Africa,no,0,yes,10
RSA8,Siyabonga Ngezana,South Africa,-,South Africa,no,0,yes,10
RSA9,Khuliso Mudau,South Africa,-,South Africa,no,0,yes,10
RSA10,Nkosinathi Sibisi,South Africa,-,South Africa,no,0,yes,10
RSA11,Teboho Mokoena,South Africa,-,South Africa,no,0,yes,10
RSA12,Thalente Mbatha,South Africa,-,South Africa,no,0,yes,10
RSA13,Team Photo,South Africa,-,South Africa,no,0,yes,10
RSA14,Bathusi Aubaas,South Africa,-,South Africa,no,0,yes,10
RSA15,Yaya Sithole,South Africa,-,South Africa,no,0,yes,10
RSA16,Sipho Mbule,South Africa,-,South Africa,no,0,yes,10
RSA17,Lyle Foster,South Africa,-,South Africa,no,0,yes,10
RSA18,Iqraam Rayners,South Africa,-,South Africa,no,0,yes,10
RSA19,Mohau Nkota,South Africa,-,South Africa,no,0,yes,10
RSA20,Oswin Appollis,South Africa,-,South Africa,no,0,yes,10
KOR1,Emblem,South Korea,foil,South Korea,no,0,yes,12
KOR2,Hyeon-woo Jo,South Korea,-,South Korea,no,0,yes,12
KOR3,Seung-Gyu Kim,South Korea,-,South Korea,no,0,yes,12
KOR4,Min-jae Kim,South Korea,-,South Korea,no,0,yes,12
KOR5,Yu-min Cho,South Korea,-,South Korea,no,0,yes,12
KOR6,Young-woo Seol,South Korea,-,South Korea,no,0,yes,12
KOR7,Han-beom Lee,South Korea,-,South Korea,no,0,yes,12
